Station,Nisken.no,HPLCSet.no,VialName,Extraction.Date,Vol.Filtered.L,Chl.c3.Amount,Chl.ide.Amount,MgDVP.Amount,Chl.c2.Amount,Chl.c1.Amount,Peridinin.Amount,19.but.Amount,Fuco.Amount,19.Hex.like.keto.Amount,Neo.Amount,Prasino.Amount,Viola.Amount,19.Hex.Amount,DD.Amount,cis.fuco.Amount,Allo.Amount,Diato.Amount,Monad.Amount,Zeax.Amount,Lutein.Amount,8.Apo.Amount,Croco.Amount,Chl.b.Amount,Chl.C2.like.MGDG.Amount,Chl.a.like 1.Amount,DVChlaAmount,ChlAmount,Ph.tin.Amount,a.Car.Amount,b.Car.Amount
116,5,2,5,42200,4.65,2.723,0,0,6.233,0,0,0.424,0,0,0,0,0,15.164,6.211,0,0,1.872,0,32.018,0,4.461,1.308,1.994,0,0,8.003,41.855,3.162,4.122,2.716
116,6,2,8,42200,4.65,0,0,0,4.306,0,0,0,0,0,0,0,0,8.956,6.86,0,0,2.536,0,12.368,1.409,4.485,0,0.946,0,0,3.937,30.192,0,4.937,0
116,7,2,9,42200,4.65,1.011,0,0,2.793,0,0,0,0,0,0,0,0,5.449,6.68,0,0.306,3.262,0,11.262,0,4.451,0,0.041,0,0,3.428,23.322,0,0,2.498
118,1,4,20,42206,4.65,16.717,0,9.332,11.44,0,0,20.988,0,0,0,0,0,27.82,2.295,0,0,0,0,11.374,0,3.973,0,57.561,3.722,0,35.787,62.905,8.339,15.051,0
118,2,4,21,42206,4.65,50.059,0,40.898,35.359,0,1.16,44.156,1.562,0,1.613,0,0,119.078,8.792,0,4.26,3.542,0,90.253,0,4.589,1.878,155.853,11.645,0,231.496,228.138,4.814,51.906,0
118,3,4,22,42206,4.65,20.559,0,6.154,17.094,0,1.574,16.851,0.841,0,1.82,0,1.513,61.868,7.159,0,0,0,0,74.538,0,4.875,3.315,21.46,3.825,0,69.2,127.824,10.829,14.585,2.988
118,4,4,23,42206,4.65,10.062,0,3.822,10.558,0,1.069,7.186,0.16,0,0,0,1.228,30.676,5.725,0,0,0,0,58.643,0,4.564,2.227,7.252,1.627,0,30.49,71.418,6.868,8.401,3
118,5,4,17,42206,4.65,2.672,0,0,4.99,0,0,0.452,0,0,0,0,0,13.331,4.837,0,0,0,0,47.973,0,3.689,1.54,2.408,0,0,13.901,36.439,3.246,5.659,2.366
118,6,4,18,42206,4.65,2.132,0,0,4.83,0,0,0.157,0,0,0,0,1.218,11.842,7.049,0,0,0,0,36.862,0,4.43,0,2.881,0,0,12.41,40.627,3.571,4.989,2.988
118,7,4,19,42206,4.65,2.19,0,0,4.728,0,0,0.115,0,0,0,0,1.275,12.568,7.602,0,0,0,0,35.975,0,4.366,0,1.99,0,0,10.805,36.979,5.612,4.752,2.412
107A,3,3,3,42201,4.65,90.26,98.519,14.175,45.586,0,5.664,54.87,52.982,0,0,0,0,74.926,8.221,2.88,0,3.106,0,19.26,0,4.73,22.321,72.456,3.936,33.436,32.207,166.49,23.962,26.801,3.385
107A,4,3,4,42201,3.49,643.791,391.462,0,361.962,0,16.665,105.951,711.635,0,6.346,10.679,3.627,136.338,47.269,101.218,11.733,24.615,0,40.21,2.566,7.519,7.696,86.926,17.987,68.392,35.125,1555.419,162.724,24.284,28.082
121A,3,3,19,42201,4.65,122.441,0,17.457,65.07,0,0,38.602,157.599,0,2.044,0,0,37.15,12.395,15.3,0,3.891,0,15.539,0,3.803,14.714,2.035,6.104,11.541,26.718,408.523,44.506,10.821,7.446
121A,4,3,20,42201,3.41,393.113,154.717,30.181,221.988,0,19.103,77.632,536.569,0,6.473,0,3.569,76.311,34.906,67.428,0,8.387,0,37.867,0,7.278,34.233,5.304,6.478,29.257,72.399,1257.597,110.474,25.437,23.136
Tricho?,1,5,3,42207,0.15,46.124,272.754,0,0,0,0,0,0,0,0,0,0,0,152.686,0,0,0,0,7148.711,0,99.98,0,513.07,59.098,0,0,26815.046,2188.31,358.252,2403.682
Tricho?,2,5,4,42207,0.15,312.65,1006.334,0,0,0,0,0,0,0,0,106.943,0,0,597.278,230.98,46.582,144.751,0,32314.569,0,161.544,0,2562.256,338.047,0,0,119938.702,11722.034,1359.261,13208.438
Tricho?,3,5,5,42207,0.15,35.854,208.11,0,0,0,0,0,0,0,0,68.319,0,0,153.898,9.203,0,0,0,7005.993,0,136.299,0,546.447,0,0,0,29243.9,2269.707,388.977,2746.899
Tricho?,4,5,6,42207,0.15,0,0,0,0,0,0,0,0,0,0,77.095,0,0,154.259,17.353,0,0,0,7091.159,0,137.131,0,0,0,0,0,30758.017,2088.526,449.641,3021.52
